#{"t_start": 1768229381.0572927, "env_id": "None"}
r,l,t
-983.4375,200,1.460505
-1392.755,200,1.510504
-1029.7423,200,1.561013
-819.50244,200,1.610513
-1485.8511,200,1.662021
-1193.6895,200,3.332861
-966.9892,200,5.005838
-1547.4852,200,6.684467
-989.2695,200,8.42163
-1074.9127,200,10.11727
-1757.8811,200,11.811316
-1184.6597,200,13.496791
-743.22644,200,15.21724
-1667.4761,200,16.935164
-1183.4333,200,18.642017
-1343.3191,200,20.340138
-980.54517,200,22.037938
-1802.5109,200,23.722703
-1672.7648,200,25.398224
-1384.8497,200,27.130372
-1249.4833,200,28.85741
-1359.5579,200,30.569469
-1290.5946,200,32.246611
-1454.6816,200,33.934236
-1555.4604,200,35.629612
-1760.7504,200,37.324514
-1744.4362,200,39.007658
-1499.7367,200,40.741874
-1704.1594,200,42.439018
-1754.1857,200,44.155513
-1686.3201,200,45.841084
-1836.7462,200,47.524041
-1436.018,200,49.214471
-1716.6487,200,50.931539
-1617.74,200,52.679187
-1748.0585,200,54.36586
-1793.256,200,56.076015
-1410.3402,200,57.766268
-1421.8895,200,59.47719
-1687.8663,200,61.21603
-1183.8069,200,62.923932
-1238.0919,200,64.620925
-1216.4922,200,66.329338
-1202.739,200,68.032623
-1185.9819,200,69.707039
-1448.2802,200,71.432537
-1201.831,200,73.127031
-961.6595,200,74.80888-121.3087,200,659.663895
-1.0789404,200,671.914199
-129.38629,200,684.123102
-117.99692,200,696.396155
03.2671,200,83.381994
-973.80853,200,85.072355
-649.3215,200,86.766817
-897.65515,200,88.477777
-799.4066,200,90.170554
-1025.749,200,91.868388
-586.5164,200,93.577707
-644.98035,200,95.256137
-1078.4199,200,96.961628
-534.15326,200,98.652903
-643.2369,200,100.361543
-777.13257,200,102.029839
-876.96655,200,103.726216
-1061.1404,200,105.454835
-1059.2574,200,107.146199
-1253.7787,200,108.830047
-1121.8701,200,110.507989
-1301.8668,200,112.209146
-1301.0098,200,113.922639
-1200.6534,200,115.616688
-1066.3099,200,117.330594
-1335.0188,200,118.817258
-1321.7909,200,120.303056
-1085.9282,200,121.774583
-1030.5164,200,123.268413
-1411.4199,200,124.732477
-1238.4863,200,126.212182
-1090.7244,200,127.701781
-1268.871,200,129.20218
-1300.6677,200,130.697573
-1383.1124,200,132.220412
-1371.1659,200,133.701743
-1228.4744,200,135.180054
-1364.7015,200,136.662824
-1380.9358,200,138.158309
-1401.4481,200,139.640302
-1421.5702,200,141.181242
-1078.126,200,142.667491
-924.4002,200,144.167209
-927.67035,200,145.669648
-1426.4862,200,147.160357
-762.36127,200,148.617193
-675.8448,200,150.117588
-1401.2505,200,151.594545
-766.98816,200,153.074991
-815.4498,200,154.553533
-414.24927,200,156.020343
-496.22562,200,157.500849
-874.67206,200,159.580179
-1213.3772,200,161.062084
-382.3148,200,162.542106
-264.79855,200,164.014927
-388.05887,200,165.498019
-368.9669,200,167.042752
-257.32623,200,168.526309
-262.25345,200,170.01612
-135.17831,200,171.511477
-256.725,200,172.989257
-134.74466,200,174.464229
-639.61487,200,175.980095
-7.758725,200,177.462636
-5.0124006,200,178.946369
-126.88741,200,180.452908
-128.5396,200,181.934985
-127.16456,200,183.422958
-4.2037687,200,185.061964
-249.89203,200,186.643612
-124.62811,200,188.146131
-2.8451946,200,189.636139
-5.5788646,200,191.134451
-308.59848,200,192.618747
-126.81123,200,194.109604
-245.76253,200,195.588275
-128.2849,200,197.112427
-129.3678,200,198.704565
-251.29305,200,200.468687
-130.12444,200,201.995631
-1.8953767,200,203.51669
-122.7678,200,204.99645
-131.42413,200,206.491663
-245.30202,200,207.98603
-128.58284,200,209.485998
-248.0683,200,211.002909
-246.91754,200,212.64255
-125.8648,200,214.130159
-245.4983,200,215.596912
-251.05875,200,217.06739
-126.65771,200,218.527088
-370.90924,200,220.145473
-352.11475,200,221.767711
-130.12532,200,223.269076
-125.07239,200,224.748944
-131.38797,200,226.220273
-131.58379,200,227.687171
-2.9836614,200,229.151599
-128.04863,200,230.653656
-122.92832,200,232.129983
-131.35236,200,233.631071
