#{"t_start": 1768235665.3015409, "env_id": "None"}
r,l,t
-865.4181,200,0.44857
-875.8446,200,0.44857
-856.0168,200,0.44857
-895.7526,200,0.44857
-1594.1705,200,0.76245
-938.8115,200,0.76245
-872.45184,200,0.76245
-1286.6559,200,0.76245
-1268.9756,200,1.074736
-1070.7998,200,1.074736
-1220.8429,200,1.074736
-1697.218,200,1.074736
-758.4161,200,1.391933
-959.74097,200,1.391933
-871.5602,200,1.391933
-964.04956,200,1.391933
-1337.5946,200,1.707273
-1496.1925,200,1.707273
-1421.2333,200,1.707273
-1785.0176,200,1.707273
-1060.0668,200,2.018303
-964.8628,200,2.018303
-861.3197,200,2.018303
-1182.6489,200,2.018303
-861.3792,200,2.330488
-1360.7567,200,2.330992
-1462.2406,200,2.330992
-1623.1938,200,2.330992
-864.71295,200,2.649813
-960.0533,200,2.649813
-1721.7278,200,2.649813
-926.4031,200,2.649813
-1623.3878,200,2.959527
-1094.2112,200,2.959527
-1183.2042,200,2.959527
-1703.276,200,2.959527
-811.5383,200,3.279908
-1663.1559,200,3.280407
-1319.8958,200,3.280407
-941.64307,200,3.280407
-931.8114,200,10.58957
-1165.7474,200,10.58957
-1549.0925,200,10.58957
-998.03485,200,10.58957
-1214.1216,200,11.138927
-867.0536,200,11.138927
-1399.6497,200,11.138927
-1272.433,200,11.138927
-1829.5176,200,11.700281
-1436.4707,200,11.700281
-1696.7777,200,11.700281
-926.4244,200,11.700281
-1289.2577,200,12.267436
-1190.5142,200,12.267436
-1389.1572,200,12.267436
-1284.0282,200,12.267436
-1044.5195,200,12.607548
-1622.9905,200,12.607548
-1629.1475,200,12.607548
-1284.3579,200,12.607548
-864.1592,200,13.149716
-762.37646,200,13.149716
-1707.9014,200,13.149716
-953.0561,200,13.149716
-1595.3658,200,13.706351
-1361.5371,200,13.706351
-1170.1729,200,13.706351
-1070.7008,200,13.706351
-893.2746,200,14.276946
-1542.3444,200,14.276946
-1297.2566,200,14.276946
-1373.7737,200,14.276946
-1112.3888,200,14.865582
-1493.2542,200,14.865582
-976.6005,200,14.865582
-1112.3549,200,14.865582
-1720.7881,200,15.448387
-1120.267,200,15.448387
-1235.1965,200,15.448387
-1420.0466,200,15.448888
