#{"t_start": 1768235645.156482, "env_id": "None"}
r,l,t
-862.1456,200,1.01659
-873.60974,200,1.01659
-855.97546,200,1.01659
-758.0318,200,1.01659
-1592.0132,200,1.389124
-932.95886,200,1.389124
-870.20197,200,1.389124
-1285.4509,200,1.389124
-1261.7107,200,1.760445
-1071.2418,200,1.760445
-1213.9945,200,1.760445
-1696.104,200,1.760445
-763.0829,200,2.128763
-961.0869,200,2.128763
-874.47485,200,2.128763
-1003.0463,200,2.128763
-1334.6669,200,2.499241
-1495.1952,200,2.499747
-1418.4519,200,2.499747
-1784.9103,200,2.499747
-1059.2854,200,2.870492
-964.73206,200,2.870992
-862.27496,200,2.870992
-1180.9755,200,2.870992
-871.7983,200,3.28439
-1358.3594,200,3.28439
-1460.5126,200,3.28439
-1621.2162,200,3.28439
-846.89105,200,3.70279
-960.5194,200,3.70279
-1720.9712,200,3.70279
-926.39465,200,3.70279
-1621.865,200,4.069441
-1093.5186,200,4.069441
-1182.5667,200,4.069441
-1701.8624,200,4.069441
-878.98267,200,4.437399
-1662.3899,200,4.437399
-1318.801,200,4.437399
-906.5262,200,4.437399
-900.92865,200,11.384831
-1163.9993,200,11.384831
-1548.155,200,11.384831
-971.7484,200,11.384831
-1211.2992,200,11.677181
-865.95294,200,11.677181
-1400.8822,200,11.677181
-1272.0558,200,11.677181
-1829.5955,200,11.958888
-1436.6775,200,11.958888
-1695.6442,200,11.958888
-861.93964,200,11.958888
-1288.1317,200,12.24273
-1187.497,200,12.24273
-1390.7472,200,12.24273
-1283.7548,200,12.24273
-1030.4254,200,12.529463
-1620.6166,200,12.529463
-1629.6105,200,12.529463
-1284.009,200,12.529463
-868.0067,200,12.816433
-762.468,200,12.816433
-1711.7837,200,12.816433
-913.4671,200,12.816433
-1591.7306,200,13.100849
-1361.4268,200,13.100849
-1170.4281,200,13.100849
-1069.5902,200,13.100849
-878.5825,200,13.384697
-1542.7632,200,13.384697
-1296.2772,200,13.385196
-1376.0219,200,13.385196
-1104.7072,200,13.671056
-1495.6742,200,13.671056
-976.37756,200,13.671056
-1088.0023,200,13.671056
-1718.9406,200,13.95279
-1104.5197,200,13.95279
-1234.2056,200,13.95279
-1420.0272,200,13.95279
